ID,Question,Judge,Reason
0,"酵素 - Google Shopping 【Simply 新普利】夜間代謝酵素錠(30錠)Visit siteNT$990.00 · POYA寶雅線上買COMPARE PRICESPRODUCT DETAILSForm: TabletSupplement Ingredient: ProbioticsBenefit: Digestive Support, Sleep Support基礎款夜酵素-最適合夜食習慣者 針對加強夜食消化,睡眠與代謝都有幫助 必需胺基酸促進代謝,色胺酸更幫助入睡。 80種蔬果酵素,經3次發酵活性較高。 添加專利益生菌,隔天起床排便順暢。 睡前兩顆,睡眠期間幫助代謝,提升睡眠品質 內含80種蔬果酵素 添加綜合胺基酸,好眠配方幫助入眠 專利益生菌,幫助消化排便更順暢 項目 : 說明 商品名稱 : 《Simply新普利》夜間代謝酵素錠 30錠/盒 品牌 : Simply新普利 數量 : 100g 保存方式 : 常溫 食用方式 : 每日睡前食用2錠,配合開水食用 內容物成份 : 麥芽糊精、鳳梨酵素(鳳梨梗提取物、麥芽糊精)、綜合必須胺基酸(L-白胺酸、L-二胺基己酸、L-異白胺酸、L-α胺基異戊酸、L-蛋胺酸、L-羥丁胺酸、L-苯丙胺酸、L-色胺酸、卵磷脂)、脂肪分解酵素(麥芽糊精、糊精、脂肪酵素)、澱粉分解酵素(麥芽糊精、澱粉酵素、糊精)、專利複合式植物萃取(關華豆、刺槐豆、阿拉伯膠、石榴、β-胡蘿蔔素、束絲藻)、栗子皮萃取、專利益生菌(麥芽糖醇、麥芽糊精、半乳寡糖、普魯蘭膠、葡萄柚果汁粉末、檸檬酸、凝結芽孢桿菌(Bacilluscoagulans)、蘋果酸、葡萄柚香料、副乾酪乳桿菌(Lactobacillus paracasei)、比菲德氏-龍根菌(Bifidobacterium longum)、乳酸、乾酪乳桿菌(Lactobacillus casei) )、L-肉酸、巴西酵素(昆布、裙帶菜、紫菜、香菇、檸檬馬鞭草、苦艾、西番蓮、金盞草、大飛揚草、牛筋草、檸檬草、大茴香、馬黛茶、魚腥草、紫蘇、薰衣草、貓薄荷、洋甘菊、生薑、益母草、芭樂葉、丁香、咸豐草、迷迭香、燕麥片、玉米、大麥、豌豆、紅豆、薏仁、芝麻、刺槐豆、小米、大豆、爆裂玉米、黑麥、黑豆、鷹嘴豆、扁豆、糙米、鳳梨、香蕉、蘋果、木瓜、芭樂、哈密瓜、酪梨、梅子、西印度櫻桃、檸檬、葡萄乾、芒果、楊桃、西瓜、腰果、核桃、奇異果、西洋梨、巴西莓、卡姆果、萊姆、玫瑰果、橘子、樹莓、柳橙、水蜜桃、蘿蔔、高麗菜、蓮藕、牛蒡、菊苣、甘藷、南瓜、木薯、番茄、羽衣甘藍、青椒、紅甜菜、胡蘿蔔、長型南瓜) 膜衣成份: 羥丙基甲基纖維素、二氧化鈦、食用黃色4號、食用紅色6號 內容量 ( g/ml ) : 每一份0.6公克 (本包裝含30份) 貨源 : 公司貨 劑型 : 錠 食品添加物名稱 : 產地(依序填寫國家-縣市-鄉鎮) : 台灣台北市 廠商名稱 : 新普利股份有限公司 廠商電話號碼 : 02-2717-0877 廠商地址 : 台北市松山區復興北路309號7樓 商品有效日期 : 製造期後1095日內 投保產品責任險字號 : 已投保富邦產物產品責任險 保險單號碼:0500字第21AML0000997號 薦證廣告 : 無 其他揭露事項 : 無 食品業者登錄字號 : A-127972230-00000-0 營養標示 每一份量 : 0.6公克 本包裝含 : 30份 每份 每100公克 熱量 : 2.2大卡 大卡 蛋白質 : 0.1公克公克 脂肪 : 0公克公克 飽和脂肪 : 0公克公克 反式脂肪 : 0公克公克 膽固醇(自願標示者) : 0毫克毫克 碳水化合物 : 0.4公克公克 糖 : 0公克公克 膳食纖維(自願標示者) : 0公克公克 鈉 : 0.4毫克 毫克 藥商許可執照: 北府板藥販 字第 623101M316號 藥商名稱 : 遠百企業股份有限公司 藥商地址: 新北市板橋區四川路1段389號1樓 藥商諮詢專線: (02)7703-3955 規格:30錠 產地:台灣 保存期限:999天 貨源:公司貨 劑型:錠",legal,廣告文字內容主要使用「幫助」、「促進」、「提升」等詞彙，描述產品對於消化、代謝、睡眠及排便順暢的輔助作用。這些詞彙通常被視為食品廣告中可接受的「生理功能之輔助」或「一般性健康維持」的範疇，而非涉及疾病治療、預防或誇大療效。例如，「幫助入睡」、「幫助代謝」、「提升睡眠品質」、「排便順暢」等，在食品廣告中若未伴隨具體疾病名稱或治療暗示，通常被允許。與參考資料中被判定違法的案例相比，本廣告未提及具體的疾病名稱（如過敏、蛀牙、私密困擾等），也未宣稱具有治療、改善特定病症或解決特定健康問題（如「解決生活困擾」、「告別煩悶不適」）的功效。雖然「提升睡眠品質」可能較為敏感，但在「從寬認定合法性」原則下，且未伴隨其他更強烈的醫療或疾病治療暗示，可被解釋為一般性的健康維持輔助。
1,"酵素 - Google Shopping 最高6%回饋 大研生醫 順暢酵素益生菌粉包(30包/盒)Visit siteNT$1,320.00 · 大研生醫網路商店Free shippingCOMPARE PRICESPRODUCT DETAILS五大黃金順暢國際配方,保護消化道全機能! 益生菌X益生元X後生元,改變細菌生態、共同養護消化道健康,更加了消化酵素X蔬果發酵精華,提升吸收滋養消化機能MORE DETAILSUSER REVIEWS5.0★★★★★193 reviews54321SEE ALL REVIEWSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$1,320.00Free shipping大研生醫網路商店NT$1,320.00Free shippingmomo購物網NT$1,980.00屈臣氏網路商店NT$1,042.00Free shippingPChome 24h購物NT$949.00Free shipping鮮拾Showing results 1&ndash;5 of 12Next >",legal,廣告文字內容主要描述產品對消化道健康的維護、細菌生態的調整以及消化機能的提升，例如「保護消化道全機能」、「改變細菌生態」、「共同養護消化道健康」、「提升吸收滋養消化機能」。這些詞句屬於食品可宣稱的「生理功能」或「一般營養素功能」範疇，旨在說明產品有助於維持或優化身體的正常機能。與參考資料中被判定違法的廣告內容相比，本廣告並未涉及具體的疾病治療、預防、減輕症狀、改善特定身體疾病狀態（如「泡芙腿」、「濕寒族」、「內分泌失調」、「護肝」、「治療副作用減輕」）或誇大至醫學美容效果（如「肌齡年輕7歲」、「再生肌膚」）。根據「無罪判定原則」及「從寬認定合法性」的原則，本廣告用詞未直接涉及誇大療效或違法。
2,"酵素 - Google Shopping Webber Naturals 綜合消化酵素咀嚼片 270片Visit siteNT$389.00 · Costco 好市多Free shippingCOMPARE PRICESPRODUCT DETAILS葡萄糖、果糖、綜合酵素、(木瓜酵素、鳳梨酵素、澱粉分解酵素)、柳橙色素、檸檬酸、木瓜香料、硬脂酸鎂。【 使用方式】 . 每日3~4次,每次1粒,隨餐食用。 . 請依照指示食用,多食無益。【 原產地】加拿大 (詳見商品外包裝標示為主)【保存方式】 . 請置於陰涼乾燥處,避免高溫潮濕的環境。 . 請勿放置於嬰幼兒易取處。【 保存期限】3年6個月 (商品依序出貨,收到商品時,所剩有效期間會較前述日期為短。)【 廠商資訊】 . 廠商名稱:好市多股份有限公司 . 廠商電話:449-9909(手機撥打請加02) . 廠商地址:高雄市中華五路656號【食品業者登錄字號】A-196972798-00031-9【產品責任險字號】BFL Canada Insurance Service Inc. Policy No. CHFAW028【尺寸】60 x 60 x 110 mm【重量】156 公克【劑型】咀嚼片【口味】木瓜【有效日期】詳閱商品包裝說明【剩餘保存期限】詳閱商品包裝說明【營養標示】詳閱商品包裝說明【貨源】國內公司貨MORE DETAILSUSER REVIEWS4.6★★★★★71 reviews54321SEE ALL REVIEWSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$389.00Free shippingCostco 好市多NT$599.00Free shippingmomo購物網NT$639.00Free shippingPChome 24h購物NT$463.00蝦皮購物NT$870.00+NT$50.00 shipping博客來Showing results 1&ndash;5 of 8Next >",legal,該廣告文字內容主要包含產品名稱、價格、成分列表、使用方式、原產地、保存方式、保存期限、廠商資訊、食品業者登錄字號、產品責任險字號、尺寸及重量等資訊。其中，產品名稱「綜合消化酵素咀嚼片」及成分中列出的「木瓜酵素、鳳梨酵素、澱粉分解酵素」僅為描述產品的性質及其所含的成分，這些成分本身即具有幫助消化的功能，屬於對產品特性的客觀描述。廣告中並未出現參考資料中被判定為誇大或易生誤解的詞句，例如「纖盈」、「加速代謝」、「改善虛弱」、「阻斷吸收」、「暖宮」、「修復軟骨」、「抗發炎」、「減脂」、「排毒」、「年輕6歲」、「馬甲線」等涉及療效、生理功能改善或身體結構改變的宣稱。整體而言，廣告內容僅為產品的基本資訊與成分說明，未涉及誇大療效或違反食品安全衛生管理法第28條第1項規定之情事，符合「從寬認定合法性」原則。
3,"酵素 - Google Shopping Svelty Pakkun 酵母高級版 100錠Visit siteNT$750.00 · CosmeBear 小熊藥妝台湾站 - 日本藥妝特賣直邮+NT$288.00 shippingCOMPARE PRICESPRODUCT DETAILSSupplement Ingredient: Turmeric, Fiber, Probiotics, Amino AcidsType: SupplementsBenefit: Weight SupportMô tả Sản phẩm Svelty 3X PAKKUN-Phân giải men cao cấp là một loại bổ sung dinh dưỡng được thiết kế để hỗ trợ thói quen ăn uống của bạn. Sản phẩm này chứa ba lần lượng men và chitosan so với phiên bản thông thường của ""PAKKUN-Phân giải men"". Nó cũng bao gồm 9 loại thảo dược đã được tiêu thụ trong nhiều năm, tất cả được đóng gói vào một viên nang. Men này được kích thích bởi thức ăn và nhiệt độ, giúp phân giải các chất carbohydrate trong cơ thể bạn. Xin lưu ý rằng nhà sản xuất không xử lý yêu cầu hoặc trả hàng của các sản phẩm mua tại các cửa hàng khác. Thông số Sản phẩm Kích thước sản phẩm là W 80mm x H 154mm x D 50mm và nó chứa 100 hạt. Tên thương hiệu là Svelty và nó được sản xuất bởi Nature Labo. Thành phần Thành phần bao gồm men khô, chitosan (bao gồm tôm), chiết xuất từ đậu trắng, dextrin không tiêu hóa, lactose (bao gồm các thành phần từ sữa), chiết xuất Garcinia cambogia, chiết xuất candlebush, chiết xuất Gymnema sylvestre, chiết xuất Salacia reticulata, trà matcha, maltodextrin, oligosaccharide, chiết xuất nghệ, chiết xuất trà oolong, dextrin, Bifidobacterium bifidum, chiết xuất Coleus forskoli, chiết xuất tiêu đen, cellulose tinh thể, gelatin, stearate canxi, silic dioxide vi mô, axit succinic, và canxi cacbonat. Thông tin Dinh dưỡng Từng 4 viên nang (1.628g), sản phẩm chứa Năng lượng 5.24kcal, Protein 0.53g, Chất béo 0.09g, Carbohydrate 0.82g (Đường 0.31g, Chất xơ ăn 0.51g), và Số lượng tương đương muối 0.002g. Hướng dẫn sử dụng Dùng làm bổ sung dinh dưỡng để hỗ trợ thói quen ăn uống của bạn. Xin lưu ý rằng thiết kế bao bì có thể thay đổi mà không cần thông báo trước.MORE DETAILSUSER REVIEWS4.6★★★★★1,000 reviews54321SEE ALL REVIEWSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$750.00+NT$288.00 shippingCosmeBear 小熊藥妝台湾站 - 日本藥妝特賣直邮NT$706.00+NT$342.00 shippingDokodemoNT$749.96satudora global shopping siteNT$759.00+NT$100.00 shipping樂樂JAPANNT$710.00Free shippingiOPEN MallShowing results 1&ndash;5 of 6Next >",legal,根據廣告文字內容，其主要宣稱詞為「Benefit: Weight Support」（體重支持）以及「bổ sung dinh dưỡng được thiết kế để hỗ trợ thói quen ăn uống của bạn」（一種旨在支持您飲食習慣的營養補充品）。這些用詞相較於參考資料中被判定為違法的廣告詞句（例如：「纖境享瘦」、「完美體態」、「燃脂不停滯」、「減少熱量攝取」、「馬甲線」、「燃燒脂肪」、「抑制嘴饞」、「阻斷吸收」、「免運動、不節食」、「瘦了3公斤」、「吸走多餘油脂」、「阻斷澱粉吸收」、「降低膽固醇、體脂」、「改善體質」、「消除疲勞」、「修護肝臟功能」、「美白」等），顯得更為籠統和保守。廣告中並未出現直接宣稱療效、減肥效果、改變身體機能、治療疾病或誇大不實的具體數據或承諾。在「無罪判定原則」下，從寬認定其合法性，認為「Weight Support」可被解釋為一種廣泛的健康維持或輔助概念，而非具體的醫療效能或誇大療效。
4,"酵素 - Google Shopping 三多消化酵素Plus膜衣錠60錠Visit siteNT$446.00 · 三多sentosa+NT$110.00 shippingCOMPARE PRICESPRODUCT DETAILS添加更多種不同功能性的酵素、含澱粉分解酵素、脂肪分解酵素、蛋白質分解酵素、鳳梨酵素、木瓜酵素,幫助食物中三大營養素(醣類、脂肪、蛋白質)分解與消化,有助於營養素吸收。 B群加強能量代謝:含維生素B1、B2、B6、泛酸,促進新陳代謝。 特別添加芽孢乳酸菌:可順利通過消化道,可幫助維持消化道機能、改變細菌叢生態、健康維持。 添加鎂,有助於身體正常代謝。 幫助消化 促進新陳代謝 品 名:三多消化酵素Plus膜衣錠 原料成分:微結晶狀α-纖維素、綜合酵素(麥芽糊精、澱粉分解酵素、植酸酵素、葡萄糖澱粉酵素、複合酵素(脂肪分解酵素、蛋白質分解酵素、澱粉分解酵素、麥芽糊精)、中性蛋白質分解酵素、鳳梨酵素、蛋白質分解酵素4.5、轉化酵素、蛋白質分解酵素3.0、半纖維素分解酵素、果膠酵素、α-半乳糖苷酶、蛋白質分解酵素、脂肪分解酵素、胜肽分解酵素、乳糖分解酵素、蛋白質分解酵素6.0、澱粉酵素、纖維素分解酵素)、綜合酵素Plus(麥芽糊精、澱粉分解酵素、蛋白質分解酵素、脂肪分解酵素、纖維分解酵素)、啤酒酵母(啤酒酵母、麥芽萃取)氧化鎂、青木瓜萃取物(麥芽糊精、乳糖、青木瓜萃取物、益生菌發酵物粉末(唾液乳桿菌發酵粉、乳雙岐桿菌發酵粉、長雙岐桿菌發酵粉、麥芽糊精、檸檬酸)羥丙基甲基纖維素、本多酸鈣、二氧化鈦、食用黃色四號鋁麗基、乳酸菌(Bacillus Coagulans、乳糖)維生素B1、維生素B2、維生素B6、食用黃色五號鋁麗基、食用藍色一號鋁麗基。 (食品添加物符合國家安全標準,請安心食用) 容量:0.5公克/錠,60錠/盒 保存期限:三年 有效日期:日/月/西元年 貨源: 公司貨 用法用量: 1、每餐飯後1錠。 2、請搭配溫冷開水食用。",legal,廣告文字內容主要描述產品成分（酵素、B群、芽孢乳酸菌、鎂）對身體正常生理機能的幫助，例如「幫助食物中三大營養素分解與消化」、「有助於營養素吸收」、「促進新陳代謝」、「幫助維持消化道機能」、「改變細菌叢生態」、「健康維持」、「有助於身體正常代謝」等。這些用詞多使用「幫助」、「有助於」、「促進」、「維持」等字眼，屬於食品或保健食品常見的機能性宣稱，旨在說明成分對身體機能的輔助作用，而非宣稱具備治療、改善疾病或誇大療效。與參考資料中被判定違法的廣告內容（如宣稱「兒童專科」、「促進身高發育」、「解決過敏問題」、「強化思緒、加速學習」、「變聰明」、「治療」特定疾病或具體量化效果如「提高1.7倍吸收」、「減少77%哭鬧」等）相比，本廣告文字並未涉及醫療效能、誇大不實或易生誤解的宣稱。根據「從寬認定合法性」原則，其用詞符合食品廣告規範。
5,酵素 - Google Shopping Jyc 極研萃暢快纖酵素錠30錠Visit siteNT$790.00 · 屈臣氏網路商店COMPARE PRICESPRODUCT DETAILS詳細介紹 6大消化代謝維持健康、排便順暢。 56種蔬菜、24種水果、10種乳酸菌、日本專利蘋果果膠。 80蔬果酵素 × 乳酸菌 × 綠茶 × 鳳梨酵素 × 日本蘋果果膠 × 大麥草 × 蛋白酵素。 小叮嚀 1. 請置於乾燥陰涼通風處避免陽光照射同時置於孩童無法拿取處。 2. 若正值懷孕、哺乳或藥物治療等情況請洽詢醫師、藥師、營養師之建議請依食用方式使用有助維持健康。 3. 食用方式每日一次每次一粒每日限食用一粒睡前搭配冷溫開水用多食無益。 4. 本品含燕麥片、大麥、芝麻、大豆、黑麥、黑豆、芒果、腰果、核桃、糖、乳酸菌。 本產品投保產品責任險新台幣貳仟萬元。 通過sgs檢驗核可。 專業設備及製程專利成分添加。 技術研究中心創新技術開發。 商品規格 商品簡述 6大消化代謝維持健康、排便順暢 56種蔬菜、24種水果、10種乳酸菌、日本專利蘋果果膠 品牌 極研萃jyc 規格 30錠 原產地 台灣 深、寬、高 3x13x8.5cm 淨重 173 G 保存環境 室溫 是否可門市/超商取貨 Y 商品屬性 投保產品責任險 新台幣貳仟萬元 製造日期 詳見包裝 包裝份量 30錠 食品業者登錄字號 B-200206504-00000-7 藥商許可執照: 藥商諮詢專線:0800-051-148 許可執照字號:北市衛藥販松字第620101c611號 藥商名稱:台灣屈臣氏個人用品商店股份有限公司 藥商地址:台北市松山區八德路四段760號11樓之1、之2及14樓 藥商諮詢專線:(02)27421234MORE DETAILSUSER REVIEWS5.0★★★★★733 reviews54321SEE ALL REVIEWSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$790.00屈臣氏網路商店NT$695.00樂天市場購物網NT$790.00Free shipping蝦皮購物,legal,廣告文字內容主要宣稱「6大消化代謝維持健康、排便順暢」，並列出成分及食用方式。與參考資料中被判定違法的廣告內容相比，本廣告並未涉及治療、改善疾病、減肥、降低血脂、抗發炎、修復關節或醫美等級的誇大療效宣稱。其中「維持健康」為食品類產品常見且合法的宣稱，而「排便順暢」通常被視為有助於維持生理機能，而非治療便秘等疾病。廣告中亦有提醒消費者諮詢專業人士的警語（如：『若正值懷孕、哺乳或藥物治療等情況請洽詢醫師、藥師、營養師之建議請依食用方式使用有助維持健康』），整體內容未見誇大或涉及醫療效能之詞句，符合從寬認定合法性原則。
6,&nbsp; &nbsp; &nbsp; 常見QA Q: 為何要選擇消化酵素? 從食物入口開始，就需要消化酵素幫助食物進行分解，如此才能將我們吃的五穀雜糧營養素吸收到人體，提供我們所需的養分，因此良好的消化道機能，扮演著維持健康的重要環節!《活萃泱®享食綜合酵素膠囊》精選Deerland®美國酵素領導大廠來源n.zimes®綜合消化酵素，提供多元6大類、19種消化酵素，尤其酵素具有專一性，種類越多元、越能幫助維持良好消化環境，為您的健康多一點呵護! Q: 綜合消化酵素與市售鳳梨酵素有何不同? 市售鳳梨酵素、木瓜酵素、奇異果酵素等蔬果萃取酵素皆以蛋白質分解酵素為主，僅能針對蛋白質進行消化代謝；而n.zimes®綜合消化酵素除蛋白質分解酵素外，包含澱粉分解酵素、脂肪分解酵素、纖維分解酵素等19種酵素，各司其職、全方位後援每日精緻飲食後的食物分解所需，讓您吃得更健康！ Q: 哪些族群需要消化酵素呢? 如果您有以下狀況：(1) 美食當前，總是只能拍照打卡 (2) 經常外食，大魚大肉只是基本菜色 (3) 工作繁忙，常狼吞虎嚥 (4) 壓力大，作息不正常 (5) 銀髮族 (6) 素食者，可適時補充酵素來維持消化道機能唷! Q: 消化酵素與益生菌不同嗎? 提到維持消化道機能的產品，最常提及的就是酵素與益生菌這兩類，兩者在功能、訴求上完全不同，但彼此間卻又是相互配合、相輔相成！酵素組成主要為蛋白質，作用於消化道前半段，可以幫助食物的分解與消化；益生菌組成主要為微生物，作用於消化道後半段，改變細菌叢生態、調整體質。若能兩者同時補充，可對消化道機能作全方位的保健！因此《活萃泱®享食綜合酵素膠囊》也特別添加Lactospore®凝結芽孢桿菌，完整呵護！ Q: 是否可使排便順暢? 《活萃泱®享食綜合酵素膠囊》中的消化酵素主要可幫助食物完整分解，促進新陳代謝、調整體質；同時，複方添加Lactospore®專利凝結芽孢桿菌與日本專利水溶性膳食纖維，有助改變細菌叢生態、調節生理機能，長期食用有助維持正常的排便習慣。 Q: 什麼時間點吃最好呢? 一般建議可於午餐或晚餐飯後食用2粒，幫助消化。或於美食佳餚後立即食用2粒，享受美食輕鬆無負擔！ Q: 素食者可以吃嗎? 可以唷!《活萃泱®享食綜合酵素膠囊》從原料到植物膠囊的選用，皆為非動物來源成分，屬於全素可食，可放心食用。 Q: 為何《活萃泱®享食綜合酵素膠囊》是用膠囊劑型，而非市售常見的錠狀? 錠狀在製程上雖然快速，但相對所需要的賦形劑也比膠囊來得多，若不想要攝取太多不必要的食品添加物，選擇膠囊充填是比較好的選擇! 同時，若有不善吞嚥的朋友，也可以撥開後配水食用，如此也增加了食用的方便性唷! ★ 歡迎加入活萃泱官方帳號獲取更多資訊 ★ 相關商品 【膳食孅動力】膳青汁 (30包/盒) NT$599 加入購物車 【穩定平衡力】苦瓜胜肽膠囊 (60粒/盒) NT$499 加入購物車 【益菌順暢力】酵素益生菌粉包 (30包/盒) NT$299 加入購物車 【黃金好比力】印加果油植物膠囊 (60粒/盒) NT$299 加入購物車 【孅氣有魅力】薑黃綠茶膠囊 (30粒/袋) NT$299 加入購物車 【啟動代謝力】左旋肉鹼膠囊 L-Carnitine (60粒/瓶) NT$399 加入購物車 【煥彩泉源力】輔酵素Q10膠囊 CoQ10 (30粒/瓶) NT$299 加入購物車 【樂活原動力】納豆Q10膠囊 (30粒/盒) NT$499 加入購物車,legal,廣告文字內容主要說明消化酵素在食物分解、營養吸收及維持消化道機能方面的基本生理作用，並針對特定飲食習慣或族群（如外食族、銀髮族）提出適時補充酵素以維持消化道機能的建議。這些描述屬於食品可宣稱的「生理功能」範疇，並未涉及疾病的預防、治療或減輕，也未提及具體的醫療效能或誇大療效。與參考資料中被判定違法的廣告內容相比，本廣告未出現如「預防骨質疏鬆」、「改善心臟功能」、「抗氧化」、「抗發炎」、「治療疼痛」、「減肥」、「阻斷吸收」等涉及疾病治療、身體特定器官功能改善或誇大生理效應的詞句。因此，根據「從寬認定合法性」原則，判斷其廣告用詞未涉及誇大療效及違法。
7,酵素 - Google Shopping 大醫生技 益洽生益生菌綜合酵素粉 30包 1g 2盒Visit siteNT$520.00 · 大醫生技COMPARE PRICESPRODUCT DETAILS2023營養專家推薦益生菌酵素配方 最佳替代方案胃食道逆流MORE DETAILSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$520.00大醫生技NT$384.00Free shippingCoupang 酷澎,illegal,廣告文字中提及「最佳替代方案胃食道逆流」，其中「胃食道逆流」為一特定醫療疾病或症狀。將食品宣稱能作為某種疾病的「最佳替代方案」，已暗示其具有治療、改善或預防疾病的功效，此類宣稱已涉及誇大療效或易生誤解，違反食品安全衛生管理法第28條第1項規定。參考案例中，DHC產品宣稱「舒緩緊繃不適，維持下半身緊實孅美」、「遠離疲勞和多餘脂質」，波羅蜜多杏仁茶宣稱「強化喉嚨氣管的功能」、「改善便秘」、「滋補毛髮、骨質疏鬆」，日豐生技養生茶宣稱「改善消化」、「清熱解毒」、「補血」、「改善睡眠」等，均被認定為涉及誇張易生誤解而違法。本廣告將食品與特定疾病（胃食道逆流）直接連結並宣稱其為「最佳替代方案」，其誇大程度與參考案例中被判違法的詞句相似，甚至更為直接，因此即使從寬認定，仍構成違法。
8,"酵素 - Google Shopping 保濟堂 酵素王 15包入Visit siteNT$750.00 · 屈臣氏網路商店COMPARE PRICESPRODUCT DETAILS保濟堂 酵素王錠 含脂肪分解酵素、澱粉水解酵素、多種益生菌、綜合蔬果萃取物、果寡糖、螺旋藻、綠藻 幫助消化、排便順暢、促進新陳代謝、調整體質 通過SGS檢驗 【商品規格】 1. 品名:保濟堂 酵素王錠 2. 規格:180錠/罐 3. 食用方法:每日食用3錠,每日食用一次,建議於晚餐後或睡前食用。 4. 內容物成分:脂肪分解酵素、澱粉水解酵素、多種益生菌、綜合蔬果萃取物(詳見產品外包裝) 5. 食品添加物名稱:脂肪分解酵素、澱粉水解酵素、多種益生菌、綜合蔬果萃取物(詳見產品外包裝) 6. 產地:台灣 7. 製造廠商或國內負責廠商名稱:保濟堂企業有限公司 8. 製造廠商或國內負責廠商地址:桃園市中壢區義民路2段25巷3號1樓 9. 製造廠商或國內負責廠商電話:(02)2769-8111 10. 保存期限:3年(詳見包裝所示) 11. 保存方法:請置於陰涼乾燥處、常溫保存。 12. 食品業者登錄字號:H-186642714-00000-3 13. 投保產品責任險字號:1209第04PLON00050號 14. 貨源:公司貨 15. 劑型:錠劑 16. 營養標示:請參閱附圖 【",legal,"根據提供的參考資料，違法廣告文字內容主要涉及誇大療效、宣稱疾病預防、治療或減輕疾病症狀，以及過度強調特定身體部位的修復或改善功能。例如：

1.  **白蘭氏赤靈芝案例**：宣稱「增強免疫系統、抗老化、解毒、護肝、降膽固醇、抗高血壓」等，涉及疾病治療與預防。
2.  **七寶創意精萃飲案例**：宣稱「暖宮調理、舒緩冰冷、重建循環、告別冷底體質、補充助孕養分、改善體質、經前預防、補血養血」等，涉及特定生理狀況的治療與改善，並有誇大吸收率的宣稱。
3.  **白蘭氏保捷膠原錠案例**：宣稱「關節、膝蓋保養、維持好靈活行動力、潤滑、修護、穩固、找回行動力」等，涉及特定身體部位的治療與修復。

對比本廣告文字內容：「幫助消化、排便順暢、促進新陳代謝、調整體質」。這些詞句屬於食品或保健食品常見的、與維持身體正常生理機能相關的宣稱，並未直接宣稱具有醫療效能、疾病預防或治療效果，也未提及特定疾病或症狀的改善。尤其「幫助消化」和「排便順暢」是酵素和益生菌的常見功能性描述，而「促進新陳代謝」和「調整體質」在食品廣告中通常被視為一般性健康維持的範疇，與參考案例中明確指向疾病或治療的誇大宣稱有顯著區別。

基於「無罪判定原則」及「從寬認定合法性」，本廣告文字內容未達到參考案例中被判定違法的誇大療效或涉及醫療效能的程度。"
9,"酵素 - Google Shopping BHK's 植萃酵素 素食膠囊 (60粒/瓶)Visit siteNT$690.00 · BHK's無瑕机力Free shippingCOMPARE PRICESPRODUCT DETAILSForm: Capsule吃飯吃太快、三餐沒按時吃、愛吃糯米類難消化食物、邊開會邊吃飯、吃飯講話導致吃進太多空氣,腸胃道罷工、腸胃機能失靈、消化不良、消化不好嗎? 腹部脹脹的、胃嘟嘟、拍肚子都是砰砰砰的聲音、食慾不振、容易覺得飽飽的不餓,容易打嗝、大量放屁讓你在公眾場合出糗嗎? 預防脹氣、舒緩脹氣,專業藥師李騫,真心推薦「BHK’s植萃酵素素食膠囊」多種天然酵素助消化,特別針對飲食中難消化的食物種類,添加五大分解酵素,「蛋白質分解酵素(含鳳梨酵素、木瓜酵素)、澱粉分解酵素、纖維水解酵素、乳糖分解酵素、脂肪分解酵素」加強食物在胃中的消化程度,幫腸道做SPA按摩助消化! 預防消化不良,讓你不再一肚子氣。 額外添加綜合蔬菜粉與薑黃,讓三餐飲食不均衡的你,補充營養,預防腸胃道發炎,減少脹氣問題產生。 60粒入瓶裝設計,放在家中照顧全家人的腸胃道消化問題,放後一粒消化酵素,啟動代謝、做好體內環保消化更順暢!MORE DETAILSUSER REVIEWS5.0★★★★★257 reviews54321SEE ALL REVIEWSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$690.00Free shippingBHK's無瑕机力NT$690.00Free shippingmomo購物網NT$690.00+NT$60.00 shipping活力達康站NT$690.00+NT$50.00 shipping博客來NT$630.00Free shippingCoupang 酷澎Showing results 1&ndash;5 of 6Next >",illegal,廣告文字中提及「預防腸胃道發炎」之詞句，涉及預防疾病之醫療效能宣稱。根據參考資料，類似「抗發炎」、「減緩發炎疼痛」等詞句已被判定為誇大療效並違反食品安全衛生管理法第28條第1項規定。儘管採用從寬認定原則，但「發炎」屬於醫學上之病理現象，宣稱能「預防」此類現象已超出一般食品或保健食品可宣稱之範疇，構成誇大療效及違法。其他如「預防脹氣、舒緩脹氣」、「預防消化不良」、「助消化」、「補充營養」等詞句，則屬於食品可宣稱之生理功能或營養補充範疇，不構成違法。
